id,Car,Color,Model,Origin
WBABV13486J188703,Nissan,Mauv,Maxima,SE
1G4GD5G38EF483656,Geo,Mauv,Tracker,ID
SCBGC3ZA1EC761356,Acura,Orange,RL,CN
YV1852AR2A1291281,Infiniti,Teal,Q,TZ
WBAKB0C57CC980143,Acura,Orange,TSX,PH
3C6TD5MT4CG958875,Ford,Aquamarine,Aerostar,AR
WBAYM1C57ED574189,Chevrolet,Purple,Camaro,PL
JH4DC53014S942486,Aston Martin,Khaki,V8 Vantage S,ID
JTDKDTB38C1605629,Porsche,Orange,968,RU
1N4CL2AP9BC280911,Jaguar,Indigo,X-Type,US
WAUJT64B13N187764,Mazda,Maroon,626,PK
KMHTC6AD7CU519239,Volkswagen,Puce,Eurovan,CN
WBALM73539E868458,Jeep,Indigo,Patriot,CN
1G4HP54K61U810357,Dodge,Yellow,Charger,ID
1G6DP577X50338304,Suzuki,Yellow,Grand Vitara,ID
WAUEF98E68A875305,GMC,Fuscia,3500 Club Coupe,CN
3GYFNGE3XCS742937,BMW,Purple,530,CZ
5N1AT2MK2FC462601,Chevrolet,Green,Corvette,CO
SCBCC41N89C163953,Dodge,Crimson,Avenger,PH
3N1CN7AP0DL424776,Audi,Puce,90,CN
WAUWFAFH8DN316652,Mazda,Goldenrod,MX-3,RU
SCBGT3ZA7FC224959,Kia,Maroon,Spectra,AR
1C6RD7HT5CS692565,Pontiac,Khaki,Safari,BR
WA1DGAFP8EA580147,Mazda,Puce,Mazda3,CN
1C4AJWAGXFL152018,Volkswagen,Orange,Golf,PH
1C3CDFAA0FD247164,Mazda,Puce,MX-5,JP
WAULD64B44N634076,Lamborghini,Teal,Diablo,CN
WBAWV13529P327252,Volkswagen,Pink,Golf,CN
1VWAH7A39CC902368,Buick,Red,Coachbuilder,CN
3N1CE2CP4EL214084,Pontiac,Fuscia,GTO,KR
5J8TB3H54GL416605,Ford,Goldenrod,Edge,ID
1GYFC53249R479666,Mercedes-Benz,Mauv,SLK-Class,CN
WBAFR1C51BC677778,Volkswagen,Fuscia,Touareg,LK
1FTEX1CW2AF574666,Mitsubishi,Blue,3000GT,MX
WBA1F7C59FV763842,Chevrolet,Maroon,Astro,CN
1G6DK5ED8B0512499,GMC,Purple,Sierra,CN
WBAYE8C51ED077385,Volkswagen,Pink,Touareg,US
19VDE3F36DE126200,Ford,Purple,E350,BD
WVGEF9BP5ED880353,Audi,Aquamarine,5000CS,FI
WAULT68E53A385851,Dodge,Crimson,Grand Caravan,AR
1GKS1CKJ3FR371806,Ford,Maroon,Freestyle,FR
JN1CV6AP8CM954573,Volkswagen,Pink,riolet,NG
1FMJK1F55DE769828,Volvo,Teal,S80,TH
WAUKF78P99A399657,Jeep,Fuscia,Compass,JP
5XYZT3LB6EG943847,Toyota,Pink,Tercel,CN
WAUGFBFC0EN788375,Lincoln,Maroon,MKZ,CO
KNDMG4C7XE6060983,Ford,Blue,Fiesta,CD
1D7RE3GK5BS178355,Rolls-Royce,Crimson,Ghost,PH
SCFHDDBT2EG097739,Hyundai,Crimson,Tucson,CN
WAUBC48H16K911935,Porsche,Indigo,Cayman,CN
WAUDGBFL9CA226706,Toyota,Purple,Avalon,VN
WBAKX8C51BC369068,Ford,Orange,F-Series Super Duty,VN
1GYEK63N72R934949,Mercury,Puce,Marauder,ID
WBA6B2C57ED281394,Nissan,Violet,Sentra,PH
KM8NU4CC5AU957091,Scion,Fuscia,xD,CN
19UUA75648A376258,GMC,Yellow,Safari,BR
1G6AJ1R38F0489067,Volvo,Red,S60,GR
WBA5M4C52ED168910,Dodge,Orange,Caravan,MR
1N4AB7AP2EN058694,Lexus,Aquamarine,LS,NO
1GYUKGEF1AR200720,Hyundai,Purple,HED-5,CA
WAUED54B91N744328,Mercedes-Benz,Goldenrod,300SE,PH
19UUA75558A101876,Subaru,Aquamarine,Impreza,GT
